No,URI,Shortname,National?,Capital?,Official,,,,,PlatformType,,,
1,http://data.belgium.be/datasets?page=,data_belgium_be,Y,,Y,None,NULL,NULL,,html,None,NULL,NULL
2,http://data.gov.uk/,data_gov_uk,Y,,Y,None,NULL,NULL,,ckan,MANUAL,NULL,NULL
3,http://www.dati.gov.it/catalog/,dati_gov_it,Y,,Y,None,NULL,NULL,,ckan,MANUAL,NULL,NULL
4,http://www.daten.rlp.de/,daten_rlp_de,,,Y,None,NULL,NULL,,ckan,MANUAL,NULL,NULL
5,http://opendata.aragon.es/catalogo/,opendata_aragon_es,,,Y,None,NULL,NULL,,ckan,MANUAL,NULL,NULL
6,http://rotterdamopendata.nl/,rotterdamopendata_nl,,,Y,None,NULL,NULL,,ckan,MANUAL,NULL,NULL
7,http://data.gov.ie/,data_gov_ie,Y,,Y,None,NULL,NULL,,ckan,MANUAL,NULL,NULL
8,http://data.amsterdamopendata.nl/,data_amsterdamopendata_nl,,Y,N,None,NULL,NULL,,ckan,MANUAL,NULL,NULL
9,https://www.data.gv.at/katalog/,data_gv_at,Y,,Y,None,NULL,NULL,,ckan,MANUAL,NULL,NULL
10,http://www.opendata.admin.ch/en/,opendata_admin_ch,Y,,Y,None,NULL,NULL,,ckan,MANUAL,NULL,NULL
11,http://data.gov.sk/,data_gov_sk,Y,,Y,None,NULL,NULL,,ckan,MANUAL,NULL,NULL
12,https://www.govdata.de/ckan/,govdata_de,?,,Y,None,NULL,NULL,,ckan,MANUAL,NULL,NULL
13,http://data.glasgow.gov.uk/,data_glasgow_gov_uk,,,Y,None,NULL,NULL,,ckan,MANUAL,NULL,NULL
14,http://opengov.es/,opengov_es,?,,N,None,NULL,NULL,,ckan,MANUAL,NULL,NULL
15,http://oppnadata.se/,oppnadata_se,?,,Y,None,NULL,NULL,,ckan,MANUAL,NULL,NULL
16,http://opendata.hu/,opendata_hu,?,,N,None,NULL,NULL,,ckan,MANUAL,NULL,NULL
17,http://cz.ckan.net/en/,cz_ckan_net,?,,N,None,NULL,NULL,,ckan,MANUAL,NULL,NULL
18,https://offenedaten.de/,offenedaten_de,?,,N,None,NULL,NULL,,ckan,MANUAL,NULL,NULL
19,http://ckan.data.graz.gv.at/,ckan_data_graz_gv_at,,,Y,None,NULL,NULL,,ckan,MANUAL,NULL,NULL
20,http://ckan.data.linz.gv.at/,ckan_data_linz_gv_at,,,Y,None,NULL,NULL,,ckan,MANUAL,NULL,NULL
21,http://datosabiertos.malaga.eu/,datosabiertos_malaga_eu,,,Y,None,NULL,NULL,,ckan,MANUAL,NULL,NULL
22,http://www.nosdonnees.fr/,nosdonnees_fr,?,,N,None,NULL,NULL,,ckan,MANUAL,NULL,NULL
23,http://dati.trentino.it/,dati_trentino_it,,,Y,None,NULL,NULL,,ckan,MANUAL,NULL,NULL
24,http://dati.veneto.it/,dati_veneto_it,,,Y,None,NULL,NULL,,ckan,MANUAL,NULL,NULL
25,http://data.opendataforum.info/,data_opendataforum_info,,,Y,None,NULL,NULL,,ckan,MANUAL,NULL,NULL
26,http://portal.openbelgium.be/,portal_openbelgium_be,?,,N,None,NULL,NULL,,ckan,MANUAL,NULL,NULL
27,http://www.opendata-hro.de/,opendata-hro_de,,,Y,None,NULL,NULL,,ckan,MANUAL,NULL,NULL
28,http://data.kk.dk/,data_kk_dk,,,Y,None,NULL,NULL,,ckan,MANUAL,NULL,NULL
29,http://www.odaa.dk/,odaa_kk,,,Y,None,NULL,NULL,,ckan,MANUAL,NULL,NULL
30,http://ckan.opendatacanarias.es/,ckan_opendatacanarias_es,,,Y,None,NULL,NULL,,ckan,MANUAL,NULL,NULL
31,http://publicdata.eu/,publicdata_eu,,,N,None,NULL,NULL,,ckan,MANUAL,NULL,NULL
32,http://datos.gob.es/catalogo?title=&order=&page=,datos_gob_es,Y,,Y,None,NULL,NULL,,html,None,NULL,NULL
33,http://it.ckan.net/,it_ckan_net,,,N,None,NULL,NULL,,ckan,MANUAL,NULL,NULL
34,http://rs.ckan.net/,rs_ckan_net,,,N,None,NULL,NULL,,ckan,MANUAL,NULL,NULL
35,http://datahub.io/,datahub_io,,,N,None,NULL,NULL,,ckan,MANUAL,NULL,NULL
36,http://ie.ckan.net/,ie_ckan_net,,,N,None,NULL,NULL,,ckan,MANUAL,NULL,NULL
37,http://data.gov.ro/,data_gov_ro,Y,,Y,None,NULL,NULL,,ckan,MANUAL,NULL,NULL
38,http://www.juntadeandalucia.es/datosabiertos/portal/catalogo.html?pagina=,www_juntadeandalucia_es,,,Y,None,NULL,NULL,,html,None,NULL,NULL
39,http://www.hri.fi/en/,hri_fin,,,Y,None,NULL,NULL,,ckan,MANUAL,NULL,NULL
40,http://opendata.euskadi.net/w79-resformx/eu/?r01kSrchSrcId=contenidos.inter&r01kTgtPg=,opendata_euskadi_net,,,Y,None,NULL,NULL,,html,None,NULL,NULL
41,http://daten.berlin.de/datensaetze?title=&&field_license_tid=All&field_publisher_tid=All&field_geo_granularity_tid=All&field_temporal_granularity_tid=All&field_geo_coverage_tid=All&field_tags_tid=All&page=,daten_berlin_de,,Y,Y,None,NULL,NULL,,html,None,NULL,NULL
42,http://aperto.comune.torino.it/?q=dataset&page=,aperto_comune_torino_it,,,Y,None,NULL,NULL,,html,None,NULL,NULL
43,http://transparencia.gijon.es/pag/,transparencia_gijon_es,,,Y,None,NULL,NULL,,html,None,NULL,NULL
44,http://data.digitaliser.dk/alle?p-1436223928=,data_digitaliser_dk,,,Y,None,NULL,NULL,,html,None,NULL,NULL
45,http://abertos.xunta.es/busca-de-datos?p_p_id=dataset_portlet&p_p_lifecycle=0&p_p_state=normal&p_p_col_id=column-1&p_p_col_count=1&_dataset_portlet_content=%2Fopencms%2FOpenData%2FDataSet%2Flistado_dataset_catalogo.html%3Fpage%3D,abertos_xunta_es,,,Y,None,ES,EU,es,html,None,05/11/2014 00:00:00,05/11/2014 00:00:00
46,http://opendata.service-bw.de/Seiten/offenedaten.aspx?Paged=TRUE&p_Title=Haushaltsdaten&p_Bezugsort=Baden-WÃ¼rttemberg&p_ID=79&PageFirstRow=,openadata_service_bw_de,,,Y,None,NULL,NULL,,html,MANUAL,NULL,NULL
47,http://data.bris.ac.uk/data/,data_bris_ac_uk,,,U,None,NULL,NULL,en,ckan,MANUAL,NULL,NULL
48,http://www.data.rennes-metropole.fr/les-donnees/catalogue/c9f34928afb82a48505190084627f81b/?tx_icsopendatastore_pi1[page]=,www_data_rennes-metropole_fr,,,Y,None,FR,EU,fr,html,MANUAL,NULL,NULL
49,http://data.london.gov.uk,data_london_gov_uk,,Y,Y,None,NULL,NULL,en,ckan,MANUAL,NULL,NULL
50,http://opendata.provincia.lucca.it/SpodCkanApi/,harvest opendata_provincia_lucca_it,,,Y,None,IT,EU,it,ckan,MANUAL,NULL,NULL
51,http://opendata.bordeaux.fr/recherche/results?page=,opendata_bordeaux_fr,,,Y,None,FR,EU,fr,html,MANUAL,NULL,NULL
52,http://open-data.europa.eu/en/data/dataset?q=&op=&ext_boolean=all&page=,open_data_europa_eu,,,Y,None,NULL,NULL,en,html,MANUAL,NULL,NULL
53,http://dadesobertes.gencat.cat/ca/cercador/cerca-cataleg/index.html?etiquetes=&formats=&organismes=&q=&first=,dadesobertes_gencat_cat,,,Y,None,ES,EU,es,html,MANUAL,NULL,NULL
54,http://www.opendata.provincia.roma.it/,opendata_provincia_roma_it,,,Y,None,IT,EU,it,ckan,MANUAL,NULL,NULL
55,http://data.upf.edu/en/,data_upf_edu,,,U,None,ES,EU,es,ckan,MANUAL,NULL,NULL
56,https://data.overheid.nl/,data_overheid_nl  ,,,Y,None,NL,EU,nl,ckan,MANUAL,NULL,NULL
57,http://opendata.ayto-caceres.es/,opendata_ayto_caceres_es,,,Y,None,ES,EU,es,ckan,MANUAL,NULL,NULL
58,http://opendata.opennorth.se/,se,,,Y,None,SE,EU,se,ckan,MANUAL,NULL,NULL
59,http://opendata.cmt.es,spain,,,Y,None,ES,EU,es,ckan,MANUAL,NULL,NULL
60,http://datos.alcobendas.org/,datos_alcobendas_org,,,Y,None,ES,EU,es,ckan,MANUAL,NULL,NULL
61,http://dati.venezia.it/?q=cerca_dataset&page=,dati_venezia_it,,,Y,None,IT,EU,it,html,MANUAL,NULL,NULL
62,https://open.wien.gv.at/site/datenkatalog/?nr=,open_wien_at,,Y,Y,None,NULL,NULL,,html,MANUAL,NULL,NULL
63,http://data.opendataportal.at/,data_opendataportal_at,,,N,None,NULL,NULL,,ckan,MANUAL,NULL,NULL
64,http://opendata.comune.bari.it/,opendata_comune_bari_it,,,Y,None,IT,EU,it,ckan,MANUAL,NULL,NULL
65,http://data.ktn.gv.at/category/all/page/,data_ktn_gv_at,,,Y,None,NULL,NULL,,html,MANUAL,NULL,NULL
66,http://datos.madrid.es/portal/site/egob/menuitem.9e1e2f6404558187cf35cf3584f1a5a0/?vgnextoid=374512b9ace9f310VgnVCM100000171f5a0aRCRD&page=,dados-madrid-es,,?,Y,None,ES,EU,es,html,MANUAL,NULL,NULL
67,http://opendata.montpelliernumerique.fr/Les-donnees?pagination_rubdata&debut_rubdata=,opendata-montpelliernumerique-fr,,,Y,None,FR,EU,fr,html,MANUAL,NULL,NULL
68,http://www.gobiernoabierto.navarra.es/es/open-data/datos/catalogo?clave=&tema=All&cat=All&format=All&page=,gobiernoabierto-navarra-es,,,Y,None,ES,EU,es,html,MANUAL,NULL,NULL
69,http://suche.transparenz.hamburg.de/,daten_hamburg_de,,,Y,None,DE,EU,de,ckan,MANUAL,NULL,NULL
70,http://data.gov.md/ckan/,data-gov-md,,,Y,,,,,,,,
71,http://opendata.antwerpen.be,opendata-antwerpen-be,,,Y,,,,,,,,
72,http://dati.toscana.it/,dati-toscana-it,,,Y,,,,,,,,
73,http://www.datiopen.it/SpodCkanApi/,datiopen-it,,,N,,,,,,,,
74,http://www.datosabiertos.jcyl.es,datosabiertos-jcyl-es,,,Y,,,,,,,,
75,http://www.opendatamalta.org/ckan/,opendatamalta-org,,,N,,,,,,,,
76,http://data.steiermark.at/,,,,Y,,,,,,,,
77,http://data.gent.be/,,,,Y,,,,,,,,
78,http://www.daten.bremen.de/sixcms/detail.php?gsid=bremen02.c.730.de,,,,Y,,,,,,,,
79,http://www.caib.es/caibdatafront/,,,,Y,,,,,,,,
80,http://www.opengov.se/data,,,,N,,,,,,,,
81,http://data.southampton.ac.uk/,,,,U,,,,,,,,
82,http://www.opendatanottingham.org.uk/,,,,Y,,,,,,,,
83,http://www3.hants.gov.uk/opendata/,,,,Y,,,,,,,,
84,https://www.opengov-muenchen.de/,,,,Y,,,,,,,,
85,http://geodata.gov.gr/geodata/,,,,Y,,,,,,,,
86,http://data.noe.gv.at/,,,,Y,,,,,,,,
87,http://www.dipusevilla.es/datosabiertos/,,,,Y,,,,,,,,
88,https://datos.upo.gob.es/,,,,Y,,,,,,,,
89,http://datos.santander.es/,,,,Y,,,,,,,,
90,http://gobiernoabierto.gobex.es/,,,,Y,,,,,,,,
91,http://www.larioja.org/npRioja/default/index.jsp?idtab=758984,,,,Y,,,,,,,,
92,http://dkh.deusto.es,,,,Y,,,,,,,,
93,http://dati.comune.bologna.it/,,,,Y,,,,,,,,
94,https://opendata.bristol.gov.uk/,,,,Y,,,,,,,,
95,http://dati.comune.roma.it/,,,,Y,,,,,,,,
96,https://www.dati.lombardia.it/,,,,Y,,,,,,,,
97,https://gavaobert.gavaciutat.cat/,,,,Y,,,,,,,,
98,http://www.datalocale.fr/,,,,Y,,,,,,,,
99,https://open.nrw/,,,,Y,,,,,,,,
100,http://data.loire-atlantique.fr/,,,,Y,,,,,,,,
101,http://data.nantes.fr/,,,,Y,,,,,,,,
102,http://data.gov.hr/,,,,Y,,,,,,,,
103,http://opendata.tarragona.cat,,,,Y,,,,,,,,
104,http://www.datagm.org.uk/,,,,Y,,,,,,,,
105,http://data.wu.ac.at/,,,,U,,,,,,,,
106,http://opendatagortynia.gr/,,,,Y,,,,,,,,
107,http://opendata.cnmc.es/,,,,Y,,,,,,,,
108,http://opendata.awt.be/,,,,Y,,,,,,,,
109,https://data.eindhoven.nl/,,,,Y,,,,,,,,
110,http://opendata.bcn.cat,,,,Y,,,,,,,,
111,http://opendata.cloudbcn.cat,,,,Y,,,,,,,,
112,http://opendata.cornella.cat,,,,Y,,,,,,,,
113,http://opendata.viladecans.cat,,,,Y,,,,,,,,
114,http://transparencia.castillalamancha.es,,,,Y,,,,,,,,
115,http://annuario.comune.fi.it/,,,,Y,,,,,,,,
116,https://opendata.government.bg,,,,Y,,,,,,,,
117,http://data.fingal.ie/ViewDataSets/,,,,Y,,,,,,,,
118,http://data.visitprovence.com/,,,,Y,,,,,,,,
119,http://opendata.terrassa.cat/VW_Principal.aspx,,,,Y,,,,,,,,
120,http://www.dados.gov.pt,,,,Y,,,,,,,,
121,http://opendata.elprat.cat/elprat/es/catalog,,,,Y,,,,,,,,
122,http://www.valencia.es,,,,Y,,,,,,,,
123,http://opendata.enschede.nl,,,,Y,,,,,,,,
124,http://apigobiernoabiertocatalog.valencia.es/,,,,Y,,,,,,,,
125,http://data.enel.com/dataresults,,,,N,,,,,,,,
126,http://www.leedsdatamill.org/,,,,Y,,,,,,,,
127,https://www.tirol.gv.at/,,,,Y,,,,,,,,
128,http://opendata.santfeliu.cat/,,,,Y,,,,,,,,
129,https://sede.minetur.gob.es/,,,,Y,,,,,,,,
130,http://opendata.badalona.cat/,,,,Y,,,,,,,,
131,http://observatori.santboi.cat,,,,Y,,,,,,,,
132,http://www.lemans.fr,,,,Y,,,,,,,,
133,https://data.overheid.nl/data/,,,,Y,,,,,,,,
134,http://www.opendata.larochelle.fr/,,,,Y,,,,,,,,